OG	logFC	AveExpr	t	P.Value	adj.P.Val	B
OG_23909	14.5935078308	1.6633045914	98.0227020925548	2.90066442525366e-16	1.41378384086863e-12	21.6639126284588
OG_6387	12.3362267532	1.5279853762	76.0134697318429	3.68651018185525e-15	5.79230413268298e-12	20.9755165423268
OG_30968	14.8510973104	2.3753504662	74.8295704913695	4.31269156120572e-15	5.79230413268298e-12	20.9240275702408
OG_12935	-11.1658370486	-0.4687283097	-74.1042041434015	4.75363490577183e-15	5.79230413268298e-12	20.8915062459892
OG_4310	14.0897529032	1.0745136696	67.8943262996077	1.13976493452995e-14	8.08962608605957e-12	20.5791595713507
OG_9516	13.6872294688	1.7895491038	67.7673419367075	1.16128212021385e-14	8.08962608605957e-12	20.5720731688668
OG_16687	13.6257359768	1.6038421032	67.7641678160395	1.16182565864622e-14	8.08962608605957e-12	20.5718956441766
OG_9106	-11.1940692782	-0.8225781235	-66.3364991420976	1.43721823914423e-14	8.30348859060109e-12	20.4900662537797
OG_4535	11.6909192708	1.3245982906	65.9082905057662	1.53326625595835e-14	8.30348859060109e-12	20.4647308598553
OG_8066	-9.7426968666	-1.0459570069	-64.664893964142	1.8545527754983e-14	8.43803029048743e-12	20.3889980576531
OG_9517	15.5793763348	2.4992873506	64.4935545423735	1.90435644635539e-14	8.43803029048743e-12	20.3783026361353
OG_11092	-14.2114491868	2.4658757996	-63.0277975189355	2.39589195520168e-14	9.73131449137749e-12	20.2841268715688
OG_9017	10.0691896858	0.3944668425	62.355273196532	2.66683270602732e-14	9.98837236458822e-12	20.239255008679
OG_9343	-11.1609895904	-0.7609683514	-61.900584586742	2.86904417530232e-14	9.98837236458822e-12	20.2083020231989
OG_10061	10.9448094412	0.9515433758	60.6521773486764	3.51637728846258e-14	1.09888162840396e-11	20.1206706676657
OG_10724	11.5565101828	-0.3366928396	60.4972690601134	3.60732582159692e-14	1.09888162840396e-11	20.1095187606601
OG_1233	11.750455838	-0.4748601788	60.0836422483965	3.86310028480486e-14	1.10757357577288e-11	20.0794323016366
OG_2013	11.8026768544	1.499743738	59.5834946068944	4.19935967744367e-14	1.1370932815478e-11	20.042441492272
OG_651	-12.4189966818	1.5696495471	-58.3829307007298	5.14566631654392e-14	1.24567557274472e-11	19.9508284657507
OG_11597	13.895934048	0.444187913	58.1392207030057	5.36510297672653e-14	1.24567557274472e-11	19.9317305783457
OG_75	8.342161358	-1.4623118372	58.0886189500581	5.41194318434388e-14	1.24567557274472e-11	19.9277435840635
OG_12012	12.11865004	-0.00781350120000006	57.8667828313586	5.62266364390312e-14	1.24567557274472e-11	19.9101760672239
OG_22729	10.1720839886	0.5651806495	57.4038223288724	6.09209844620405e-14	1.24727867495404e-11	19.8730429835061
OG_20629	11.1654164536	-0.6422182654	57.3572025221717	6.14170869899405e-14	1.24727867495404e-11	19.8692680417481
OG_31132	9.9283501754	0.0632187729000002	56.4845395724298	7.1573601947389e-14	1.29218168807128e-11	19.7973753143506
OG_30264	12.216589524	1.7836221386	56.4580172590086	7.19099213984123e-14	1.29218168807128e-11	19.7951531921311
OG_12155	10.765032024	-0.5778820022	56.4291876237182	7.22774714746258e-14	1.29218168807128e-11	19.7927352344846
OG_2079	-10.2451373026	0.4006177069	-56.2784755229352	7.42328421542796e-14	1.29218168807128e-11	19.7800520431263
OG_10488	8.79761885	-0.2413185754	55.7863616310044	8.1033905958631e-14	1.32711167902088e-11	19.7381314745155
OG_8547	9.8822692512	0.4202732808	55.6906471077314	8.24347197461613e-14	1.32711167902088e-11	19.7298868919377
OG_9416	-10.2782452582	-1.0158777959	-55.558808692391	8.44080058466296e-14	1.32711167902088e-11	19.71848153005
OG_9491	11.493547319	-0.9828815297	55.2038343524382	8.99841160979025e-14	1.37057056831618e-11	19.6874868033649
OG_30241	12.2031227668	0.8269055032	54.6730766445334	9.90920575493922e-14	1.4635596621083e-11	19.6403531863255
OG_1921	14.3045610002	2.2209558903	54.2243362453564	1.07586470743005e-13	1.54158613286724e-11	19.5997482858244
OG_2559	-10.2472303776	0.4016642444	-54.0695024650924	1.10700686603105e-13	1.54158613286724e-11	19.5855745260922
OG_16716	10.8583955674	-0.8647269379	53.8503740878836	1.15278790831597e-13	1.54448607598059e-11	19.565369937906
OG_9660	9.4956642346	0.2269707725	53.5139579956813	1.22717737523042e-13	1.54448607598059e-11	19.5340159813721
OG_2670	10.6732488664	-0.8257276812	53.4856047565222	1.23368408764674e-13	1.54448607598059e-11	19.5313547520741
OG_4524	-10.1889406802	0.3725193957	-53.4762362763463	1.23584236691102e-13	1.54448607598059e-11	19.530474785266
OG_1188	9.3091806486	0.2529956351	52.731526587231	1.4214534286326e-13	1.67777793488212e-11	19.4594903084201
OG_13242	9.2778094062	0.1180433583	52.7103389057289	1.42716449837373e-13	1.67777793488212e-11	19.4574404468103
OG_31093	9.0607438642	-0.3670034565	52.6419666083264	1.44576678836785e-13	1.67777793488212e-11	19.4508139932644
OG_11627	12.132394147	0.8063007833	52.4712421375761	1.49339105376275e-13	1.69274139442782e-11	19.4341903020208
OG_5954	10.4384858354	-0.7400306349	52.2694175322033	1.55192839419064e-13	1.69672053728356e-11	19.4143944718981
OG_2620	10.822998248	0.1865153888	52.1848293831035	1.57720885699845e-13	1.69672053728356e-11	19.4060509960553
OG_1158	-11.3708385802	1.0455704963	-52.1054773090165	1.60133657601649e-13	1.69672053728356e-11	19.3981987597784
OG_15284	10.6404252168	0.2692939136	51.941515511315	1.65248668956628e-13	1.7136638563715e-11	19.381896237393
OG_5347	-9.5442266694	-1.1385088391	-51.5627059973817	1.7776696505799e-13	1.80507539102634e-11	19.3438266873071
OG_11577	-8.5782405014	-1.6702296631	-51.3245988891186	1.86167343682448e-13	1.85179516960868e-11	19.3196043708007
OG_8386	8.890862949	-0.1946965259	51.024325992936	1.97389217464587e-13	1.9241500918448e-11	19.2887305932307
OG_14535	13.4592406856	1.7869057222	50.7779456532658	2.07153468680974e-13	1.96928820626589e-11	19.2631216652456
OG_30773	10.0808581172	-0.3789049632	50.7060851703828	2.10100506208096e-13	1.96928820626589e-11	19.2556050399893
